microregion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cachoeira do Sul,48968,53123,53554,55526,63081,65342,60559,60675,62008,63278,61693,67318,56258,55479,55220,54658,50774,49715,48699,45727,44550,45935,45062
Camaquã,61373,60259,64027,64086,68128,69848,70143,71672,77919,80373,83190,85971,81635,76726,81011,83114,81074,82639,77403,76778,75730,77491,79642
Campanha Central,65977,62750,64000,61700,63400,63824,65500,52538,66300,66400,67710,71629,57353,57577,62500,63215,62598,64758,62882,53862,57253,50746,56149
Campanha Meridional,58319,67470,69944,68046,74205,73835,64465,40213,65367,74200,70000,79561,51214,64961,69350,71666,69162,72992,69195,60358,55998,49688,50519
Campanha Ocidental,252819,255719,273352,256480,288538,274424,291696,253661,301008,312670,306580,330858,299430,327795,332547,335028,316446,321382,314748,296118,292611,279507,285097
Carazinho,989,969,894,894,823,815,795,795,795,588,416,50,27,20,7,6,7,7,7,9,7,6,6
Caxias do Sul,69,55,44,45,40,27,23,21,13,10,7,6,4,3,2,1,1,0,1,0,0,0,0
Cerro Largo,367,312,297,274,161,127,126,124,102,73,16,8,3,33,27,72,27,32,31,33,30,30,30
Cruz Alta,573,511,467,380,405,347,213,217,193,146,96,79,51,16,8,3,3,3,10,0,2,2,2
Erechim,794,678,620,557,481,344,305,256,255,230,155,145,93,58,35,33,21,16,18,13,14,14,15
Frederico Westphalen,1682,1645,1590,1520,1545,1461,1374,1315,1245,992,781,589,205,91,56,36,31,54,33,38,38,37,38
Gramado-Canela,361,436,430,709,724,701,682,682,929,841,936,925,1059,1077,1176,1175,1314,1264,1394,1173,1174,1195,1193
Guaporé,348,308,245,245,194,138,137,128,112,61,56,38,33,30,20,20,20,22,22,13,9,8,8
Ijuí,1076,1018,745,660,628,537,521,581,548,496,205,108,72,10,40,25,0,0,0,0,0,0,60
Jaguarão,61710,54275,53517,51700,53472,56546,57444,56374,61689,63507,62951,63917,57232,56249,62738,63350,66114,66908,62789,51290,48371,52400,51557
Lajeado-Estrela,1930,1921,1968,2184,2558,3059,3377,3442,3541,3560,3532,3608,3360,3620,3652,3641,3643,3481,3534,3677,3725,3745,3469
Litoral Lagunar,94299,81989,80700,77800,97000,99540,74240,68810,80767,89764,92904,97379,93482,94937,96000,96059,94246,95311,91215,87735,85164,91526,91782
Montenegro,1207,1179,1144,1140,1127,1093,1604,1611,1607,1610,1606,1599,2447,2429,2428,2425,2407,2447,2444,2331,2329,2335,2333
Não-Me-Toque,147,117,64,66,51,51,43,43,38,11,3,4,0,0,0,0,0,0,0,0,0,0,0
Osório,85294,80891,85886,86199,100538,106392,94679,92395,94408,95114,98223,104652,102793,105224,102603,107137,106529,103273,99679,85910,78611,82840,84402
Passo Fundo,895,794,683,551,427,479,313,254,204,144,91,81,22,22,18,10,9,9,9,9,9,5,5
Pelotas,37740,38920,38700,37225,39693,39015,35025,34725,38969,42233,41334,42873,36155,37412,37234,38235,35549,38158,35205,32181,30145,34464,33457
Porto Alegre,33102,29464,31625,34321,36413,38437,42098,42805,42863,47134,46259,49335,48518,50782,51962,52697,51855,52231,51098,46695,44379,43949,45913
Restinga Seca,32030,38650,40572,40300,41040,40265,40380,41748,42370,42875,41171,42853,40423,40832,42393,42024,40408,41627,41473,41153,39105,38568,38643
Sananduva,518,268,262,173,143,112,95,57,52,42,28,26,16,12,7,0,0,1,2,2,2,2,1
Santa Cruz do Sul,13412,13702,13707,14428,14673,14726,13689,13464,13223,13668,13401,13888,13980,13935,14160,14544,14475,14681,14525,13325,12775,12465,11722
Santa Maria,62492,64492,66205,67200,67990,65329,66670,66668,68408,68958,66541,72050,62450,61465,63815,63289,57658,58586,59263,53837,52455,55371,54397
Santa Rosa,441,441,439,455,372,212,132,66,60,22,20,36,36,35,31,31,31,26,31,31,1,1,0
Santiago,4882,3555,2383,2260,2985,2448,2413,1891,2486,1899,2012,1446,1350,775,830,798,760,750,750,750,625,750,0
Santo Ângelo,9777,7262,6927,5315,5184,4959,4252,3877,4868,5761,6849,5741,4433,4180,4290,4100,3939,4810,3040,2520,2849,2442,2112
São Jerônimo,16095,20373,16180,18444,18530,19752,19910,21020,23340,23360,22020,22581,20040,20212,20460,20560,20484,19958,20745,19995,17514,18300,18010
Serras de Sudeste,8189,9083,11143,10530,10843,10444,10060,9710,9700,10369,10369,10404,8338,9615,9493,9947,8979,9589,8064,7316,5917,5786,5541
Soledade,445,439,424,397,404,349,183,162,119,104,79,62,35,30,15,15,0,0,0,0,0,0,0
Três Passos,553,379,328,328,256,239,174,151,127,108,77,29,13,6,4,2,2,2,2,7,5,3,4
Vacaria,166,136,112,72,46,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
