microregion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cachoeira do Sul,30170,37170,46720,65930,83080,88100,84020,83020,83650,87650,88160,94950,140860,192825,209455,217900,223450,228310,239794,207870,220500,216000,229373
Camaquã,1704,3804,5028,4516,8020,8242,7000,6252,5636,5311,4410,6553,22493,34919,41764,45401,49947,47808,51096,52645,57350,60310,67186
Campanha Central,29840,40340,42800,64900,97700,106500,91000,93000,99000,88000,102000,96000,118000,147100,160000,200800,200000,215000,217000,249800,256000,261000,306000
Campanha Meridional,3870,9400,15400,29050,45300,48616,30100,46100,38100,39692,44200,39100,79100,130300,134300,166000,170000,171383,196500,225500,225000,245500,275500
Campanha Ocidental,109452,103585,124070,155150,204700,222058,177480,155233,138470,117185,134000,131000,157348,185840,201504,217950,226437,237990,250766,277731,332748,338692,399406
Carazinho,251400,241095,259700,265500,277075,277700,262700,270460,258670,258920,270020,264750,258655,273250,277400,287050,293762,280650,292670,305250,302480,301310,309400
Caxias do Sul,39,119,242,276,520,603,600,600,718,768,1018,840,821,925,930,1160,1380,1805,2165,3235,3395,3475,3940
Cerro Largo,85200,80800,82300,83300,85900,84850,75000,72700,68750,65200,68900,70950,71220,73350,75028,76278,77900,79154,78654,72653,72849,74949,75210
Cruz Alta,388750,386630,419320,448200,467315,481132,456682,467032,459100,462250,479190,489990,486950,499085,505082,512785,520413,512783,522640,533241,536711,536236,527420
Erechim,118105,106671,119140,128096,140375,148435,139473,149793,147355,150305,160414,165305,160020,168525,172695,182430,198335,194080,199353,191613,191973,191728,192503
Frederico Westphalen,154550,145200,160270,163500,168700,168025,150220,149370,143805,141630,155170,152920,151000,161050,160650,163820,174060,169268,175580,166455,166180,167550,173372
Gramado-Canela,0,0,0,0,10,20,21,21,8,5,3,5,10,18,24,19,34,39,28,25,50,54,96
Guaporé,6958,7135,8869,11316,18160,25380,24910,25090,25626,27540,32002,34398,36000,41960,47915,52575,55990,55985,60630,59003,61704,66260,61760
Ijuí,307000,293803,311950,320950,329440,332000,317000,316600,310650,309750,316900,317900,315700,317470,320960,324044,329090,328817,320462,316510,314172,316202,317812
Jaguarão,3060,4600,11900,15600,17508,27850,15689,15800,16300,21671,33000,38000,44000,78500,89000,92000,97000,96500,100500,100500,102530,105120,108900
Lajeado-Estrela,9976,9156,9754,11001,11648,12346,12241,11344,11314,12058,12340,12276,12179,13029,13993,14276,15682,15745,16485,16552,16877,18395,19308
Litoral Lagunar,18,78,0,0,0,662,0,0,0,655,1400,2757,5000,20501,32242,27345,25440,23660,27851,37025,43503,51316,59606
Montenegro,100,60,60,44,44,41,41,10,10,10,7,7,7,6,6,6,2,0,100,160,650,650,985
Não-Me-Toque,79500,81607,86900,89075,93130,92700,88000,89600,88200,84693,89460,91160,89600,93600,94150,95340,96740,97120,99810,97490,96610,95150,94337
Osório,0,0,0,0,90,490,180,150,500,500,500,500,1647,4135,12291,12731,16161,18253,18310,24160,28873,29791,40285
Passo Fundo,260130,254976,284330,296430,313080,327410,307620,321550,295350,320250,343875,349475,342230,354630,360500,369325,374150,373097,383070,383270,382110,380070,379570
Pelotas,22950,22200,26910,28110,35382,45860,32670,40770,36080,36250,43740,44510,49345,68550,96313,101503,110054,117904,126310,146675,148050,159910,172630
Porto Alegre,130,130,485,511,326,556,961,200,210,210,883,648,1027,2010,2415,3206,3986,4191,4082,6286,9685,12130,15163
Restinga Seca,9330,9780,12760,17280,22290,24180,22340,21790,23500,24750,25440,26300,31640,39670,42010,43660,46190,47140,48080,56170,57270,59920,62130
Sananduva,74650,67300,79900,85900,96650,101200,95750,102770,103250,105350,114900,119770,115050,119100,124100,129400,133636,132960,136063,142113,141160,140850,141260
Santa Cruz do Sul,24530,25480,28283,30310,34320,36255,34433,34333,35203,36463,38603,40313,43055,48130,53070,55060,59510,62575,64880,69450,70580,71780,75594
Santa Maria,31950,37600,56000,84750,123375,139760,131700,120775,122240,124050,125600,127500,144550,184050,205450,222360,229400,241730,261720,278305,287235,297502,315650
Santa Rosa,174342,166732,176050,174695,171580,162940,144120,141800,135450,131800,132700,130100,127550,128850,130500,131930,135590,134857,137287,121868,123002,123248,123002
Santiago,186300,206100,234700,277800,311280,347400,343800,345500,353000,349600,360850,378200,387885,402780,417830,432200,441930,451830,460880,472270,479930,495510,502844
Santo Ângelo,366380,355700,378600,387900,421000,435720,412750,406600,411400,408800,413200,422250,433600,447400,462815,479375,490871,503876,509620,497495,503352,506052,516213
São Jerônimo,441,1100,2150,4640,12105,15341,13220,13390,11880,12430,12953,13697,17810,24295,27460,30870,37004,37800,42400,47080,52282,52700,57635
Serras de Sudeste,9010,9950,12600,18600,29154,34200,30300,27050,27900,32100,33600,38700,47055,72490,97400,133400,164045,177364,182945,194300,209300,217100,239350
Soledade,22810,21946,26210,30740,42780,47950,48350,51150,51950,55250,56350,59000,59300,63740,71040,75540,80255,98540,84455,95640,96520,99520,105820
Três Passos,180160,163550,172800,173900,177300,176750,161330,154950,148300,145800,146800,138740,136725,138800,137500,141350,151180,150600,155000,155500,156320,158100,158080
Vacaria,87751,82701,111051,124000,145000,158000,156800,156100,152850,166350,179190,176825,181815,196950,212250,224810,234460,233046,241898,239693,249420,253540,260330
