ibge,id_mun,latitude,longitude,municipio,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4300034,430003,-31.864015,-54.164732,Aceguá,0,8000,8034,9747,11604,9500,5000,4183,4183,11000,11000,11223,6500,10000,9500,10000,8000,10254,9770,8249,8249,7229,5856
4300059,430005,-28.175055,-52.034633,Água Santa,60,25,10,10,10,10,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
4300109,430010,-29.645663,-53.258692,Agudo,6950,6820,8080,8060,8100,8100,8100,8986,9000,9255,8792,9255,9074,9184,9065,9253,9090,9108,9100,9100,9017,9145,9100
4300208,430020,-28.237729,-53.772819,Ajuricaba,110,60,40,30,30,30,30,20,20,10,10,5,5,0,0,0,0,0,0,0,0,0,0
4300307,430030,-27.661074,-54.767096,Alecrim,10,10,10,10,10,10,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,0
4300406,430040,-29.782043,-55.79587,Alegrete,43800,45000,49000,44000,49600,49931,50000,47500,50000,54000,57200,60203,57262,58350,59778,59611,53741,56762,56305,49641,53240,50178,52045
4300455,430045,-27.8373,-54.057366,Alegria,10,10,10,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300471,430047,-28.113726,-52.913715,Almirante Tamandaré do Sul,0,50,40,40,20,15,10,10,10,8,0,5,0,0,0,0,0,0,0,0,0,0,0
4300505,430050,-27.248769,-53.037366,Alpestre,150,150,150,150,150,150,150,150,150,150,70,5,3,2,1,1,1,3,5,5,5,5,5
4300554,430055,-28.774746,-52.990755,Alto Alegre,10,10,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300570,430057,-29.390139,-51.315816,Alto Feliz,6,6,6,6,6,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0
4300604,430060,-29.997493,-51.077729,Alvorada,133,90,84,92,48,25,70,50,75,140,140,146,90,135,145,110,80,70,47,47,0,47,192
4300638,430063,-30.875148,-52.25127,Amaral Ferrador,355,403,453,453,850,600,600,550,550,550,550,550,550,500,500,506,506,506,506,206,153,219,223
4300646,430064,-27.356425,-53.192177,Ametista do Sul,19,19,19,19,19,19,19,19,19,19,19,10,10,0,0,0,0,5,0,5,5,3,3
4300661,430066,-28.631977,-51.573738,André da Rocha,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300703,430070,-28.970884,-52.015823,Anta Gorda,80,80,80,80,40,40,40,40,40,20,20,20,20,20,10,10,10,10,10,5,5,4,4
4300802,430080,-28.855438,-51.283577,Antônio Prado,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
