ibge,id_mun,latitude,longitude,municipio,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4300034,430003,-31.864015,-54.164732,Aceguá,0,500,1000,1000,1000,1000,1000,1000,1000,1500,1500,3000,3000,2000,3000,500,500,500,1200,900,1500,1500,1500
4300059,430005,-28.175055,-52.034633,Água Santa,4400,4450,3600,3000,2850,3000,4000,3200,3000,2700,1800,1450,2800,1900,1900,1700,850,850,850,950,1300,1400,980
4300109,430010,-29.645663,-53.258692,Agudo,5500,5500,6000,6000,6000,5000,5000,5000,4500,4000,4000,3000,2000,3000,3000,3500,3450,3500,3500,3500,3500,3500,3500
4300208,430020,-28.237729,-53.772819,Ajuricaba,3500,6000,4300,2400,1700,1900,2200,2000,2200,1800,1000,1400,1700,1600,1300,1130,400,660,410,955,955,955,600
4300307,430030,-27.661074,-54.767096,Alecrim,5800,7000,6800,7000,5800,5000,6500,4500,4500,3100,3500,3500,3000,3500,1000,1000,1000,1000,1000,1400,1400,1000,1000
4300406,430040,-29.782043,-55.79587,Alegrete,10000,10000,6500,10000,8000,7600,8000,7000,3600,4000,8000,5000,4000,5000,5000,4000,4000,4000,4000,3800,3800,3000,4000
4300455,430045,-27.8373,-54.057366,Alegria,2800,3100,2500,2500,1535,1900,2500,2500,3000,3000,1800,1800,1800,1800,700,900,1900,2017,1617,1600,1700,1700,1732
4300471,430047,-28.113726,-52.913715,Almirante Tamandaré do Sul,0,4000,3000,2500,1800,1800,3000,3000,4000,3800,2500,3000,2600,2900,1812,1812,450,1012,450,500,930,800,800
4300505,430050,-27.248769,-53.037366,Alpestre,10500,11700,8800,11500,11800,10500,12000,12000,10000,10000,10000,10000,9000,9900,8000,8000,5200,5200,3200,3500,3300,2200,3600
4300554,430055,-28.774746,-52.990755,Alto Alegre,725,720,600,500,500,500,1000,700,1000,1200,700,700,600,660,360,400,400,365,365,230,380,380,325
4300570,430057,-29.390139,-51.315816,Alto Feliz,325,325,325,325,300,150,150,200,200,200,200,200,200,200,150,150,150,150,150,170,150,150,150
4300604,430060,-29.997493,-51.077729,Alvorada,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,6,0,0,0,0
4300638,430063,-30.875148,-52.25127,Amaral Ferrador,2000,2000,2000,2100,2100,2000,1900,1600,1750,1800,1800,1800,1800,1800,1500,1200,1200,1500,1600,1600,1600,1600,1600
4300646,430064,-27.356425,-53.192177,Ametista do Sul,3200,3200,3200,3000,2500,2700,2700,2700,2700,3000,2800,2400,1200,1200,900,900,800,800,800,800,700,1000,900
4300661,430066,-28.631977,-51.573738,André da Rocha,1000,1500,1800,2000,2000,1600,2100,2100,2400,2500,2000,2200,3000,1700,2000,2500,2500,4500,3000,6000,4000,3500,6500
4300703,430070,-28.970884,-52.015823,Anta Gorda,7800,8100,7800,7800,7800,7000,6700,7000,6700,6700,6700,6700,6700,5940,5940,5940,5940,5940,4500,3350,3350,3250,4200
4300802,430080,-28.855438,-51.283577,Antônio Prado,2507,2500,2500,2500,2500,2500,2500,2500,3000,2500,2500,3000,2250,2250,2050,2050,2050,2050,1274,1500,1500,1500,1600
4300851,430085,-30.909346,-51.501318,Arambaré,130,130,130,130,130,130,130,130,130,130,130,80,80,80,80,80,80,80,20,78,78,78,78
4300877,430087,-29.617244,-50.925677,Araricá,30,30,30,30,30,30,30,30,30,30,30,40,45,45,50,50,50,50,20,1,0,1,1
4300901,430090,-27.394444,-52.303832,Aratiba,8500,10000,10000,13000,13000,10000,8000,8000,6000,6000,4500,3150,3500,3500,3250,3250,3100,2800,2000,2500,2500,2500,1500
