variavel: Área Plantada
caminho: /Agricultura/Culturas Temporárias/Arroz/Área Plantada
fonte: Instituto Brasileiro de Geografia e Estatística. 
agrupador: Microrregião
descricao: Área plantada - é a área total plantada de cada produto agrícola na data de referência da pesquisa, considerando-se os diferentes tipos de cultivo existentes: simples, associado e intercalado
Microrregião;"2000 (ha)";"2001 (ha)";"2002 (ha)";"2003 (ha)";"2004 (ha)";"2005 (ha)";"2006 (ha)";"2007 (ha)";"2008 (ha)";"2009 (ha)";"2010 (ha)";"2011 (ha)";"2012 (ha)";"2013 (ha)";"2014 (ha)";"2015 (ha)";"2016 (ha)";"2017 (ha)";"2018 (ha)";"2019 (ha)";"2020 (ha)";"2021 (ha)";"2022 (ha)"
"Cachoeira do Sul";48.968;53.123;53.554;55.526;63.081;65.342;60.559;60.675;62.008;63.278;61.693;67.318;56.258;55.479;55.220;54.658;50.774;49.715;48.699;45.727;44.550;45.935;45.062
Camaquã;61.373;60.259;64.027;64.086;68.128;69.848;70.143;71.672;77.919;80.373;83.190;85.971;81.635;76.726;81.011;83.114;81.074;82.639;77.403;76.778;75.730;77.491;79.642
"Campanha Central";65.977;62.750;64.000;61.700;63.400;63.824;65.500;52.538;66.300;66.400;67.710;71.629;57.353;57.577;62.500;63.215;62.598;64.758;62.882;53.862;57.253;50.746;56.149
"Campanha Meridional";58.319;67.470;69.944;68.046;74.205;73.835;64.465;40.213;65.367;74.200;70.000;79.561;51.214;64.961;69.350;71.666;69.162;72.992;69.195;60.358;55.998;49.688;50.519
"Campanha Ocidental";252.819;255.719;273.352;256.480;288.538;274.424;291.696;253.661;301.008;312.670;306.580;330.858;299.430;327.795;332.547;335.028;316.446;321.382;314.748;296.118;292.611;279.507;285.097
Carazinho;989;969;894;894;823;815;795;795;795;588;416;50;27;20;7;6;7;7;7;9;7;6;6
"Caxias do Sul";69;55;44;45;40;27;23;21;13;10;7;6;4;3;2;1;1;-;1;-;-;-;-
"Cerro Largo";367;312;297;274;161;127;126;124;102;73;16;8;3;33;27;72;27;32;31;33;30;30;30
"Cruz Alta";573;511;467;380;405;347;213;217;193;146;96;79;51;16;8;3;3;3;10;-;2;2;2
Erechim;794;678;620;557;481;344;305;256;255;230;155;145;93;58;35;33;21;16;18;13;14;14;15
"Frederico Westphalen";1.682;1.645;1.590;1.520;1.545;1.461;1.374;1.315;1.245;992;781;589;205;91;56;36;31;54;33;38;38;37;38
Gramado-Canela;361;436;430;709;724;701;682;682;929;841;936;925;1.059;1.077;1.176;1.175;1.314;1.264;1.394;1.173;1.174;1.195;1.193
Guaporé;348;308;245;245;194;138;137;128;112;61;56;38;33;30;20;20;20;22;22;13;9;8;8
Ijuí;1.076;1.018;745;660;628;537;521;581;548;496;205;108;72;10;40;25;-;-;-;-;-;-;60
Jaguarão;61.710;54.275;53.517;51.700;53.472;56.546;57.444;56.374;61.689;63.507;62.951;63.917;57.232;56.249;62.738;63.350;66.114;66.908;62.789;51.290;48.371;52.400;51.557
Lajeado-Estrela;1.930;1.921;1.968;2.184;2.558;3.059;3.377;3.442;3.541;3.560;3.532;3.608;3.360;3.620;3.652;3.641;3.643;3.481;3.534;3.677;3.725;3.745;3.469
"Litoral Lagunar";94.299;81.989;80.700;77.800;97.000;99.540;74.240;68.810;80.767;89.764;92.904;97.379;93.482;94.937;96.000;96.059;94.246;95.311;91.215;87.735;85.164;91.526;91.782
Montenegro;1.207;1.179;1.144;1.140;1.127;1.093;1.604;1.611;1.607;1.610;1.606;1.599;2.447;2.429;2.428;2.425;2.407;2.447;2.444;2.331;2.329;2.335;2.333
Não-Me-Toque;147;117;64;66;51;51;43;43;38;11;3;4;-;-;-;-;-;-;-;-;-;-;-
Osório;85.294;80.891;85.886;86.199;100.538;106.392;94.679;92.395;94.408;95.114;98.223;104.652;102.793;105.224;102.603;107.137;106.529;103.273;99.679;85.910;78.611;82.840;84.402
"Passo Fundo";895;794;683;551;427;479;313;254;204;144;91;81;22;22;18;10;9;9;9;9;9;5;5
Pelotas;37.740;38.920;38.700;37.225;39.693;39.015;35.025;34.725;38.969;42.233;41.334;42.873;36.155;37.412;37.234;38.235;35.549;38.158;35.205;32.181;30.145;34.464;33.457
"Porto Alegre";33.102;29.464;31.625;34.321;36.413;38.437;42.098;42.805;42.863;47.134;46.259;49.335;48.518;50.782;51.962;52.697;51.855;52.231;51.098;46.695;44.379;43.949;45.913
"Restinga Seca";32.030;38.650;40.572;40.300;41.040;40.265;40.380;41.748;42.370;42.875;41.171;42.853;40.423;40.832;42.393;42.024;40.408;41.627;41.473;41.153;39.105;38.568;38.643
Sananduva;518;268;262;173;143;112;95;57;52;42;28;26;16;12;7;-;-;1;2;2;2;2;1
"Santa Cruz do Sul";13.412;13.702;13.707;14.428;14.673;14.726;13.689;13.464;13.223;13.668;13.401;13.888;13.980;13.935;14.160;14.544;14.475;14.681;14.525;13.325;12.775;12.465;11.722
"Santa Maria";62.492;64.492;66.205;67.200;67.990;65.329;66.670;66.668;68.408;68.958;66.541;72.050;62.450;61.465;63.815;63.289;57.658;58.586;59.263;53.837;52.455;55.371;54.397
"Santa Rosa";441;441;439;455;372;212;132;66;60;22;20;36;36;35;31;31;31;26;31;31;1;1;-
Santiago;4.882;3.555;2.383;2.260;2.985;2.448;2.413;1.891;2.486;1.899;2.012;1.446;1.350;775;830;798;760;750;750;750;625;750;-
"Santo Ângelo";9.777;7.262;6.927;5.315;5.184;4.959;4.252;3.877;4.868;5.761;6.849;5.741;4.433;4.180;4.290;4.100;3.939;4.810;3.040;2.520;2.849;2.442;2.112
"São Jerônimo";16.095;20.373;16.180;18.444;18.530;19.752;19.910;21.020;23.340;23.360;22.020;22.581;20.040;20.212;20.460;20.560;20.484;19.958;20.745;19.995;17.514;18.300;18.010
"Serras de Sudeste";8.189;9.083;11.143;10.530;10.843;10.444;10.060;9.710;9.700;10.369;10.369;10.404;8.338;9.615;9.493;9.947;8.979;9.589;8.064;7.316;5.917;5.786;5.541
Soledade;445;439;424;397;404;349;183;162;119;104;79;62;35;30;15;15;-;-;-;-;-;-;-
"Três Passos";553;379;328;328;256;239;174;151;127;108;77;29;13;6;4;2;2;2;2;7;5;3;4
Vacaria;166;136;112;72;46;12;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
