variavel: Área Plantada
caminho: /Agricultura/Culturas Temporárias/Milho/Área Plantada
fonte: Instituto Brasileiro de Geografia e Estatística. 
agrupador: Microrregião
descricao: Área plantada - é a área total plantada de cada produto agrícola na data de referência da pesquisa, considerando-se os diferentes tipos de cultivo existentes: simples, associado e intercalado
Microrregião;"2000 (ha)";"2001 (ha)";"2002 (ha)";"2003 (ha)";"2004 (ha)";"2005 (ha)";"2006 (ha)";"2007 (ha)";"2008 (ha)";"2009 (ha)";"2010 (ha)";"2011 (ha)";"2012 (ha)";"2013 (ha)";"2014 (ha)";"2015 (ha)";"2016 (ha)";"2017 (ha)";"2018 (ha)";"2019 (ha)";"2020 (ha)";"2021 (ha)";"2022 (ha)"
"Cachoeira do Sul";15.570;16.350;16.350;17.150;17.250;15.795;19.475;19.275;19.460;20.000;17.240;17.500;15.400;17.600;17.100;16.754;15.434;16.602;13.510;14.150;13.180;15.890;19.452
Camaquã;16.670;16.670;17.420;15.430;14.050;9.368;16.310;18.830;18.380;17.630;17.830;18.080;18.680;18.915;19.115;17.750;17.080;18.290;16.660;15.038;15.016;15.528;16.928
"Campanha Central";11.700;12.000;12.600;12.600;13.000;12.000;7.450;6.450;9.350;7.150;7.150;5.200;7.000;6.860;7.900;7.900;7.900;9.300;7.900;7.850;6.950;7.250;7.402
"Campanha Meridional";10.100;9.870;10.500;10.200;10.200;5.850;8.650;9.000;9.500;9.400;9.300;9.600;10.500;5.150;5.158;2.558;2.500;3.890;5.200;3.850;5.400;5.295;8.102
"Campanha Ocidental";29.486;30.590;28.865;30.300;29.400;31.490;35.830;34.100;28.150;28.650;27.150;21.770;21.200;23.050;23.530;20.328;22.135;23.450;23.040;24.340;24.904;27.980;37.783
Carazinho;64.300;80.220;59.900;56.600;53.600;51.800;69.200;62.340;72.790;67.600;54.975;60.550;67.950;62.920;48.762;44.512;35.670;41.962;35.853;38.650;41.587;40.650;36.362
"Caxias do Sul";26.672;27.955;27.185;26.655;25.830;22.520;23.725;23.540;23.750;23.380;23.180;23.810;18.320;20.920;19.265;19.115;18.195;17.275;18.384;19.645;19.125;18.614;18.110
"Cerro Largo";41.625;45.700;33.850;38.300;31.000;34.375;44.950;45.900;48.800;48.900;42.830;39.220;38.340;34.800;21.450;18.601;17.238;19.607;17.964;18.250;18.500;19.311;17.861
"Cruz Alta";52.095;65.205;43.640;41.905;34.415;33.800;55.550;47.100;56.300;54.300;31.280;27.550;38.280;33.284;30.930;27.850;24.146;28.859;20.445;23.357;26.130;26.895;27.770
Erechim;134.785;144.684;131.255;126.945;119.435;113.781;120.900;105.620;102.850;101.350;72.060;63.190;70.680;60.690;54.410;45.390;32.260;40.790;30.358;37.578;39.198;41.208;39.962
