variavel: Área Plantada
caminho: /Agricultura/Culturas Temporárias/Soja/Área Plantada
fonte: Instituto Brasileiro de Geografia e Estatística. 
agrupador: Microrregião
descricao: Área plantada - é a área total plantada de cada produto agrícola na data de referência da pesquisa, considerando-se os diferentes tipos de cultivo existentes: simples, associado e intercalado
Microrregião;"2000 (ha)";"2001 (ha)";"2002 (ha)";"2003 (ha)";"2004 (ha)";"2005 (ha)";"2006 (ha)";"2007 (ha)";"2008 (ha)";"2009 (ha)";"2010 (ha)";"2011 (ha)";"2012 (ha)";"2013 (ha)";"2014 (ha)";"2015 (ha)";"2016 (ha)";"2017 (ha)";"2018 (ha)";"2019 (ha)";"2020 (ha)";"2021 (ha)";"2022 (ha)"
"Cachoeira do Sul";30.170;37.170;46.720;65.930;83.080;88.100;84.020;83.020;83.650;87.650;88.160;94.950;140.860;192.825;209.455;217.900;223.450;228.310;239.794;207.870;220.500;216.000;229.373
Camaquã;1.704;3.804;5.028;4.516;8.020;8.242;7.000;6.252;5.636;5.311;4.410;6.553;22.493;34.919;41.764;45.401;49.947;47.808;51.096;52.645;57.350;60.310;67.186
"Campanha Central";29.840;40.340;42.800;64.900;97.700;106.500;91.000;93.000;99.000;88.000;102.000;96.000;118.000;147.100;160.000;200.800;200.000;215.000;217.000;249.800;256.000;261.000;306.000
"Campanha Meridional";3.870;9.400;15.400;29.050;45.300;48.616;30.100;46.100;38.100;39.692;44.200;39.100;79.100;130.300;134.300;166.000;170.000;171.383;196.500;225.500;225.000;245.500;275.500
"Campanha Ocidental";109.452;103.585;124.070;155.150;204.700;222.058;177.480;155.233;138.470;117.185;134.000;131.000;157.348;185.840;201.504;217.950;226.437;237.990;250.766;277.731;332.748;338.692;399.406
Carazinho;251.400;241.095;259.700;265.500;277.075;277.700;262.700;270.460;258.670;258.920;270.020;264.750;258.655;273.250;277.400;287.050;293.762;280.650;292.670;305.250;302.480;301.310;309.400
"Caxias do Sul";39;119;242;276;520;603;600;600;718;768;1.018;840;821;925;930;1.160;1.380;1.805;2.165;3.235;3.395;3.475;3.940
"Cerro Largo";85.200;80.800;82.300;83.300;85.900;84.850;75.000;72.700;68.750;65.200;68.900;70.950;71.220;73.350;75.028;76.278;77.900;79.154;78.654;72.653;72.849;74.949;75.210
"Cruz Alta";388.750;386.630;419.320;448.200;467.315;481.132;456.682;467.032;459.100;462.250;479.190;489.990;486.950;499.085;505.082;512.785;520.413;512.783;522.640;533.241;536.711;536.236;527.420
Erechim;118.105;106.671;119.140;128.096;140.375;148.435;139.473;149.793;147.355;150.305;160.414;165.305;160.020;168.525;172.695;182.430;198.335;194.080;199.353;191.613;191.973;191.728;192.503
"Frederico Westphalen";154.550;145.200;160.270;163.500;168.700;168.025;150.220;149.370;143.805;141.630;155.170;152.920;151.000;161.050;160.650;163.820;174.060;169.268;175.580;166.455;166.180;167.550;173.372
Gramado-Canela;-;-;-;-;10;20;21;21;8;5;3;5;10;18;24;19;34;39;28;25;50;54;96
Guaporé;6.958;7.135;8.869;11.316;18.160;25.380;24.910;25.090;25.626;27.540;32.002;34.398;36.000;41.960;47.915;52.575;55.990;55.985;60.630;59.003;61.704;66.260;61.760
Ijuí;307.000;293.803;311.950;320.950;329.440;332.000;317.000;316.600;310.650;309.750;316.900;317.900;315.700;317.470;320.960;324.044;329.090;328.817;320.462;316.510;314.172;316.202;317.812
Jaguarão;3.060;4.600;11.900;15.600;17.508;27.850;15.689;15.800;16.300;21.671;33.000;38.000;44.000;78.500;89.000;92.000;97.000;96.500;100.500;100.500;102.530;105.120;108.900
Lajeado-Estrela;9.976;9.156;9.754;11.001;11.648;12.346;12.241;11.344;11.314;12.058;12.340;12.276;12.179;13.029;13.993;14.276;15.682;15.745;16.485;16.552;16.877;18.395;19.308
"Litoral Lagunar";18;78;-;-;-;662;-;-;-;655;1.400;2.757;5.000;20.501;32.242;27.345;25.440;23.660;27.851;37.025;43.503;51.316;59.606
Montenegro;100;60;60;44;44;41;41;10;10;10;7;7;7;6;6;6;2;-;100;160;650;650;985
Não-Me-Toque;79.500;81.607;86.900;89.075;93.130;92.700;88.000;89.600;88.200;84.693;89.460;91.160;89.600;93.600;94.150;95.340;96.740;97.120;99.810;97.490;96.610;95.150;94.337
Osório;-;-;-;-;90;490;180;150;500;500;500;500;1.647;4.135;12.291;12.731;16.161;18.253;18.310;24.160;28.873;29.791;40.285
"Passo Fundo";260.130;254.976;284.330;296.430;313.080;327.410;307.620;321.550;295.350;320.250;343.875;349.475;342.230;354.630;360.500;369.325;374.150;373.097;383.070;383.270;382.110;380.070;379.570
Pelotas;22.950;22.200;26.910;28.110;35.382;45.860;32.670;40.770;36.080;36.250;43.740;44.510;49.345;68.550;96.313;101.503;110.054;117.904;126.310;146.675;148.050;159.910;172.630
"Porto Alegre";130;130;485;511;326;556;961;200;210;210;883;648;1.027;2.010;2.415;3.206;3.986;4.191;4.082;6.286;9.685;12.130;15.163
"Restinga Seca";9.330;9.780;12.760;17.280;22.290;24.180;22.340;21.790;23.500;24.750;25.440;26.300;31.640;39.670;42.010;43.660;46.190;47.140;48.080;56.170;57.270;59.920;62.130
Sananduva;74.650;67.300;79.900;85.900;96.650;101.200;95.750;102.770;103.250;105.350;114.900;119.770;115.050;119.100;124.100;129.400;133.636;132.960;136.063;142.113;141.160;140.850;141.260
"Santa Cruz do Sul";24.530;25.480;28.283;30.310;34.320;36.255;34.433;34.333;35.203;36.463;38.603;40.313;43.055;48.130;53.070;55.060;59.510;62.575;64.880;69.450;70.580;71.780;75.594
"Santa Maria";31.950;37.600;56.000;84.750;123.375;139.760;131.700;120.775;122.240;124.050;125.600;127.500;144.550;184.050;205.450;222.360;229.400;241.730;261.720;278.305;287.235;297.502;315.650
"Santa Rosa";174.342;166.732;176.050;174.695;171.580;162.940;144.120;141.800;135.450;131.800;132.700;130.100;127.550;128.850;130.500;131.930;135.590;134.857;137.287;121.868;123.002;123.248;123.002
Santiago;186.300;206.100;234.700;277.800;311.280;347.400;343.800;345.500;353.000;349.600;360.850;378.200;387.885;402.780;417.830;432.200;441.930;451.830;460.880;472.270;479.930;495.510;502.844
"Santo Ângelo";366.380;355.700;378.600;387.900;421.000;435.720;412.750;406.600;411.400;408.800;413.200;422.250;433.600;447.400;462.815;479.375;490.871;503.876;509.620;497.495;503.352;506.052;516.213
"São Jerônimo";441;1.100;2.150;4.640;12.105;15.341;13.220;13.390;11.880;12.430;12.953;13.697;17.810;24.295;27.460;30.870;37.004;37.800;42.400;47.080;52.282;52.700;57.635
"Serras de Sudeste";9.010;9.950;12.600;18.600;29.154;34.200;30.300;27.050;27.900;32.100;33.600;38.700;47.055;72.490;97.400;133.400;164.045;177.364;182.945;194.300;209.300;217.100;239.350
Soledade;22.810;21.946;26.210;30.740;42.780;47.950;48.350;51.150;51.950;55.250;56.350;59.000;59.300;63.740;71.040;75.540;80.255;98.540;84.455;95.640;96.520;99.520;105.820
"Três Passos";180.160;163.550;172.800;173.900;177.300;176.750;161.330;154.950;148.300;145.800;146.800;138.740;136.725;138.800;137.500;141.350;151.180;150.600;155.000;155.500;156.320;158.100;158.080
Vacaria;87.751;82.701;111.051;124.000;145.000;158.000;156.800;156.100;152.850;166.350;179.190;176.825;181.815;196.950;212.250;224.810;234.460;233.046;241.898;239.693;249.420;253.540;260.330
