variavel: Área Plantada
caminho: /Agricultura/Culturas Temporárias/Arroz/Área Plantada
fonte: Instituto Brasileiro de Geografia e Estatística. 
agrupador: Município
descricao: Área plantada - é a área total plantada de cada produto agrícola na data de referência da pesquisa, considerando-se os diferentes tipos de cultivo existentes: simples, associado e intercalado
Município;ibge;latitude;longitude;"2000 (ha)";"2001 (ha)";"2002 (ha)";"2003 (ha)";"2004 (ha)";"2005 (ha)";"2006 (ha)";"2007 (ha)";"2008 (ha)";"2009 (ha)";"2010 (ha)";"2011 (ha)";"2012 (ha)";"2013 (ha)";"2014 (ha)";"2015 (ha)";"2016 (ha)";"2017 (ha)";"2018 (ha)";"2019 (ha)";"2020 (ha)";"2021 (ha)";"2022 (ha)"
Aceguá;4300034;-31,864015000000;-54,164732000000;...;8.000;8.034;9.747;11.604;9.500;5.000;4.183;4.183;11.000;11.000;11.223;6.500;10.000;9.500;10.000;8.000;10.254;9.770;8.249;8.249;7.229;5.856
"Água Santa";4300059;-28,175055000000;-52,034633000000;60;25;10;10;10;10;4;4;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-
Agudo;4300109;-29,645663000000;-53,258692000000;6.950;6.820;8.080;8.060;8.100;8.100;8.100;8.986;9.000;9.255;8.792;9.255;9.074;9.184;9.065;9.253;9.090;9.108;9.100;9.100;9.017;9.145;9.100
Ajuricaba;4300208;-28,237729000000;-53,772819000000;110;60;40;30;30;30;30;20;20;10;10;5;5;-;-;-;-;-;-;-;-;-;-
Alecrim;4300307;-27,661074000000;-54,767096000000;10;10;10;10;10;10;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;-
Alegrete;4300406;-29,782043000000;-55,795870000000;43.800;45.000;49.000;44.000;49.600;49.931;50.000;47.500;50.000;54.000;57.200;60.203;57.262;58.350;59.778;59.611;53.741;56.762;56.305;49.641;53.240;50.178;52.045
Alegria;4300455;-27,837300000000;-54,057366000000;10;10;10;10;10;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Almirante Tamandaré do Sul";4300471;-28,113726000000;-52,913715000000;...;50;40;40;20;15;10;10;10;8;-;5;-;-;-;-;-;-;-;-;-;-;-
Alpestre;4300505;-27,248769000000;-53,037366000000;150;150;150;150;150;150;150;150;150;150;70;5;3;2;1;1;1;3;5;5;5;5;5
"Alto Alegre";4300554;-28,774746000000;-52,990755000000;10;10;10;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Alto Feliz";4300570;-29,390139000000;-51,315816000000;6;6;6;6;6;2;2;2;2;2;2;1;2;-;-;-;-;-;-;-;-;-;-
Alvorada;4300604;-29,997493000000;-51,077729000000;133;90;84;92;48;25;70;50;75;140;140;146;90;135;145;110;80;70;47;47;-;47;192
"Amaral Ferrador";4300638;-30,875148000000;-52,251270000000;355;403;453;453;850;600;600;550;550;550;550;550;550;500;500;506;506;506;506;206;153;219;223
"Ametista do Sul";4300646;-27,356425000000;-53,192177000000;19;19;19;19;19;19;19;19;19;19;19;10;10;-;-;-;-;5;-;5;5;3;3
"André da Rocha";4300661;-28,631977000000;-51,573738000000;5;3;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Anta Gorda";4300703;-28,970884000000;-52,015823000000;80;80;80;80;40;40;40;40;40;20;20;20;20;20;10;10;10;10;10;5;5;4;4
"Antônio Prado";4300802;-28,855438000000;-51,283577000000;3;3;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Arambaré;4300851;-30,909346000000;-51,501318000000;11.744;11.500;11.500;11.500;12.812;13.441;12.256;14.550;15.785;15.100;15.497;16.607;14.350;13.373;13.373;15.000;13.690;13.528;12.400;14.104;13.978;12.403;14.092
Araricá;4300877;-29,617244000000;-50,925677000000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-;-;-;-
Aratiba;4300901;-27,394444000000;-52,303832000000;30;15;20;20;20;20;20;20;20;20;15;20;10;-;-;-;-;-;-;-;-;-;-
"Arroio do Meio";4301008;-29,398891000000;-51,947449000000;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Arroio do Padre";4301073;-31,440644000000;-52,433302000000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Arroio do Tigre";4301206;-29,335860000000;-53,086396000000;60;60;30;20;20;20;20;20;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Arroio dos Ratos";4301107;-30,090013000000;-51,733807000000;40;60;70;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Arroio Grande";4301305;-32,236344000000;-53,082248000000;38.000;35.275;35.000;33.460;36.000;36.232;39.000;38.074;41.089;41.757;41.757;41.817;36.440;35.797;40.000;41.200;42.281;44.733;41.766;32.208;30.263;34.031;33.777
Arvorezinha;4301404;-28,873049000000;-52,179512000000;15;15;15;15;15;15;15;15;15;15;10;10;6;4;4;4;4;4;4;2;1;1;1
"Augusto Pestana";4301503;-28,513352000000;-53,989470000000;5;5;5;5;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Áurea;4301552;-27,693787000000;-52,054176000000;50;25;8;8;12;20;5;5;15;15;15;15;15;10;5;5;4;4;4;-;-;-;-
Bagé;4301602;-31,330502000000;-54,107083000000;20.349;12.000;13.360;12.100;13.636;13.205;10.965;4.730;10.384;12.000;12.000;13.111;7.614;9.891;10.000;10.000;10.935;11.541;10.248;8.888;8.253;8.532;8.190
"Balneário Pinhal";4301636;-30,239751000000;-50,236701000000;385;305;305;305;332;332;309;238;238;238;158;30;-;413;402;450;275;440;513;475;528;455;455
Barão;4301651;-29,380864000000;-51,497538000000;22;22;22;22;10;8;8;8;8;8;8;8;8;8;8;5;5;5;5;1;1;1;1
"Barão de Cotegipe";4301701;-27,617093000000;-52,377750000000;47;44;44;44;44;44;44;44;44;30;20;15;10;10;5;3;-;-;-;-;-;-;-
"Barão do Triunfo";4301750;-30,390484000000;-51,737669000000;250;250;210;200;250;300;150;150;165;140;200;280;310;310;310;310;310;310;270;310;310;310;310
"Barra do Guarita";4301859;-27,188070000000;-53,714413000000;25;10;10;10;10;10;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Barra do Quaraí";4301875;-30,211075000000;-57,557060000000;19.497;19.300;20.479;20.479;22.056;21.625;24.779;19.908;22.143;20.980;22.000;21.500;20.900;21.560;23.100;24.422;26.526;24.694;22.755;22.873;23.738;23.441;23.487
"Barra do Ribeiro";4301909;-30,292675000000;-51,300874000000;8.800;8.700;8.900;8.900;10.112;11.112;12.000;12.700;12.637;14.001;14.459;14.535;14.063;12.348;12.659;13.044;12.961;13.062;13.250;13.082;12.486;12.397;12.394
"Barra do Rio Azul";4301925;-27,408758000000;-52,414105000000;10;10;10;10;10;10;10;10;10;10;3;3;1;1;1;-;-;-;-;-;-;-;2
"Barra Funda";4301958;-27,923826000000;-53,036297000000;12;12;12;12;10;10;5;5;5;4;-;-;-;-;-;-;-;-;-;1;1;1;1
Barracão;4301800;-27,680230000000;-51,460151000000;100;70;70;20;10;20;20;10;5;5;3;2;-;-;-;-;-;-;-;-;-;-;-
