variavel: Área Plantada
caminho: /Agricultura/Culturas Temporárias/Milho/Área Plantada
fonte: Instituto Brasileiro de Geografia e Estatística. 
agrupador: Município
descricao: Área plantada - é a área total plantada de cada produto agrícola na data de referência da pesquisa, considerando-se os diferentes tipos de cultivo existentes: simples, associado e intercalado
Município;ibge;latitude;longitude;"2000 (ha)";"2001 (ha)";"2002 (ha)";"2003 (ha)";"2004 (ha)";"2005 (ha)";"2006 (ha)";"2007 (ha)";"2008 (ha)";"2009 (ha)";"2010 (ha)";"2011 (ha)";"2012 (ha)";"2013 (ha)";"2014 (ha)";"2015 (ha)";"2016 (ha)";"2017 (ha)";"2018 (ha)";"2019 (ha)";"2020 (ha)";"2021 (ha)";"2022 (ha)"
Aceguá;4300034;-31,864015000000;-54,164732000000;...;500;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.500;1.500;3.000;3.000;2.000;3.000;500;500;500;1.200;900;1.500;1.500;1.500
"Água Santa";4300059;-28,175055000000;-52,034633000000;4.400;4.450;3.600;3.000;2.850;3.000;4.000;3.200;3.000;2.700;1.800;1.450;2.800;1.900;1.900;1.700;850;850;850;950;1.300;1.400;980
Agudo;4300109;-29,645663000000;-53,258692000000;5.500;5.500;6.000;6.000;6.000;5.000;5.000;5.000;4.500;4.000;4.000;3.000;2.000;3.000;3.000;3.500;3.450;3.500;3.500;3.500;3.500;3.500;3.500
Ajuricaba;4300208;-28,237729000000;-53,772819000000;3.500;6.000;4.300;2.400;1.700;1.900;2.200;2.000;2.200;1.800;1.000;1.400;1.700;1.600;1.300;1.130;400;660;410;955;955;955;600
Alecrim;4300307;-27,661074000000;-54,767096000000;5.800;7.000;6.800;7.000;5.800;5.000;6.500;4.500;4.500;3.100;3.500;3.500;3.000;3.500;1.000;1.000;1.000;1.000;1.000;1.400;1.400;1.000;1.000
Alegrete;4300406;-29,782043000000;-55,795870000000;10.000;10.000;6.500;10.000;8.000;7.600;8.000;7.000;3.600;4.000;8.000;5.000;4.000;5.000;5.000;4.000;4.000;4.000;4.000;3.800;3.800;3.000;4.000
Alegria;4300455;-27,837300000000;-54,057366000000;2.800;3.100;2.500;2.500;1.535;1.900;2.500;2.500;3.000;3.000;1.800;1.800;1.800;1.800;700;900;1.900;2.017;1.617;1.600;1.700;1.700;1.732
"Almirante Tamandaré do Sul";4300471;-28,113726000000;-52,913715000000;...;4.000;3.000;2.500;1.800;1.800;3.000;3.000;4.000;3.800;2.500;3.000;2.600;2.900;1.812;1.812;450;1.012;450;500;930;800;800
Alpestre;4300505;-27,248769000000;-53,037366000000;10.500;11.700;8.800;11.500;11.800;10.500;12.000;12.000;10.000;10.000;10.000;10.000;9.000;9.900;8.000;8.000;5.200;5.200;3.200;3.500;3.300;2.200;3.600
"Alto Alegre";4300554;-28,774746000000;-52,990755000000;725;720;600;500;500;500;1.000;700;1.000;1.200;700;700;600;660;360;400;400;365;365;230;380;380;325
