variavel: Área Plantada
caminho: /Agricultura/Culturas Temporárias/Soja/Área Plantada
fonte: Instituto Brasileiro de Geografia e Estatística. 
agrupador: Município
descricao: Área plantada - é a área total plantada de cada produto agrícola na data de referência da pesquisa, considerando-se os diferentes tipos de cultivo existentes: simples, associado e intercalado
Município;ibge;latitude;longitude;"2000 (ha)";"2001 (ha)";"2002 (ha)";"2003 (ha)";"2004 (ha)";"2005 (ha)";"2006 (ha)";"2007 (ha)";"2008 (ha)";"2009 (ha)";"2010 (ha)";"2011 (ha)";"2012 (ha)";"2013 (ha)";"2014 (ha)";"2015 (ha)";"2016 (ha)";"2017 (ha)";"2018 (ha)";"2019 (ha)";"2020 (ha)";"2021 (ha)";"2022 (ha)"
Aceguá;4300034;-31,864015000000;-54,164732000000;...;100;100;750;750;2.000;2.000;2.000;2.000;2.100;2.100;5.000;8.000;15.000;18.000;25.000;25.000;20.000;25.000;25.000;25.000;25.000;30.000
"Água Santa";4300059;-28,175055000000;-52,034633000000;11.000;9.800;10.700;11.300;11.850;12.000;10.920;11.600;11.750;12.050;12.850;13.200;11.850;12.800;12.800;13.000;13.800;13.800;13.850;15.000;14.800;14.500;14.500
Agudo;4300109;-29,645663000000;-53,258692000000;-;-;-;-;-;-;-;-;20;70;150;150;300;400;600;700;850;900;850;950;1.000;1.000;1.500
Ajuricaba;4300208;-28,237729000000;-53,772819000000;18.500;17.000;18.300;19.000;19.500;20.000;19.000;19.000;18.500;18.500;18.500;17.000;17.000;17.000;17.000;17.000;17.500;18.200;20.000;20.000;20.000;20.000;20.020
Alecrim;4300307;-27,661074000000;-54,767096000000;6.500;6.000;6.000;7.000;5.600;5.600;4.500;4.000;3.500;2.700;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.200;2.200;2.200;2.300
Alegrete;4300406;-29,782043000000;-55,795870000000;5.000;6.500;10.500;15.000;26.000;32.000;25.000;17.000;12.000;15.000;10.000;8.000;11.308;20.000;20.000;25.000;24.000;27.000;35.000;38.000;60.000;60.000;85.000
Alegria;4300455;-27,837300000000;-54,057366000000;9.000;8.500;9.000;10.000;10.500;10.500;10.000;10.000;8.850;7.950;8.800;8.800;8.000;6.800;6.800;6.800;7.000;6.087;7.487;6.787;7.432;7.432;7.132
"Almirante Tamandaré do Sul";4300471;-28,113726000000;-52,913715000000;...;13.700;14.700;15.200;16.400;15.500;14.500;14.500;14.000;14.200;15.000;14.600;15.300;15.400;16.000;16.000;17.212;16.600;17.120;16.930;16.640;16.640;16.300
Alpestre;4300505;-27,248769000000;-53,037366000000;450;500;450;400;500;580;400;300;200;300;300;300;200;250;300;330;700;700;900;900;1.200;1.400;2.000
"Alto Alegre";4300554;-28,774746000000;-52,990755000000;5.000;5.000;5.500;6.000;6.200;6.200;5.700;6.000;5.700;5.500;6.000;6.000;6.250;6.250;6.315;6.045;6.050;6.080;6.080;6.000;6.000;6.000;5.600
