"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Variável x Ano x Produto das lavouras temporárias"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Área plantada (Hectares)"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)"
"UF","43","Rio Grande do Sul","1023330","942151","1065633","1110601","1101311","1169849","1042560","1085648","1114132","1127916","1088566","1104732","1068311","982886","951397","949611","961169"
"MU","4300034","Aceguá (RS)","5000","4183","4183","11000","11000","11223","6500","10000","9500","10000","8000","10254","9770","8249","8249","7229","5856"
"MU","4300059","Água Santa (RS)","4","4","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-"
"MU","4300109","Agudo (RS)","8100","8986","9000","9255","8792","9255","9074","9184","9065","9253","9090","9108","9100","9100","9017","9145","9100"
"MU","4300208","Ajuricaba (RS)","30","20","20","10","10","5","5","-","-","-","-","-","-","-","-","-","-"
"MU","4300307","Alecrim (RS)","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","-"
"MU","4300406","Alegrete (RS)","50000","47500","50000","54000","57200","60203","57262","58350","59778","59611","53741","56762","56305","49641","53240","50178","52045"
"MU","4300455","Alegria (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4300471","Almirante Tamandaré do Sul (RS)","10","10","10","8","-","5","-","-","-","-","-","-","-","-","-","-","-"
"MU","4300505","Alpestre (RS)","150","150","150","150","70","5","3","2","1","1","1","3","5","5","5","5","5"
"MU","4300554","Alto Alegre (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4300570","Alto Feliz (RS)","2","2","2","2","2","1","2","-","-","-","-","-","-","-","-","-","-"
"MU","4300604","Alvorada (RS)","70","50","75","140","140","146","90","135","145","110","80","70","47","47","-","47","192"
"MU","4300638","Amaral Ferrador (RS)","600","550","550","550","550","550","550","500","500","506","506","506","506","206","153","219","223"
"MU","4300646","Ametista do Sul (RS)","19","19","19","19","19","10","10","-","-","-","-","5","-","5","5","3","3"
"MU","4300661","André da Rocha (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4300703","Anta Gorda (RS)","40","40","40","20","20","20","20","20","10","10","10","10","10","5","5","4","4"
"MU","4300802","Antônio Prado (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4300851","Arambaré (RS)","12256","14550","15785","15100","15497","16607","14350","13373","13373","15000","13690","13528","12400","14104","13978","12403","14092"
"MU","4300877","Araricá (RS)","2","2","2","2","2","2","2","2","2","2","2","2","2","-","-","-","-"
"MU","4300901","Aratiba (RS)","20","20","20","20","15","20","10","-","-","-","-","-","-","-","-","-","-"
"MU","4301008","Arroio do Meio (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4301057","Arroio do Sal (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4301073","Arroio do Padre (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4301107","Arroio dos Ratos (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4301206","Arroio do Tigre (RS)","20","20","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4301305","Arroio Grande (RS)","39000","38074","41089","41757","41757","41817","36440","35797","40000","41200","42281","44733","41766","32208","30263","34031","33777"
"MU","4301404","Arvorezinha (RS)","15","15","15","15","10","10","6","4","4","4","4","4","4","2","1","1","1"
"MU","4301503","Augusto Pestana (RS)","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4301552","Áurea (RS)","5","5","15","15","15","15","15","10","5","5","4","4","4","-","-","-","-"
"MU","4301602","Bagé (RS)","10965","4730","10384","12000","12000","13111","7614","9891","10000","10000","10935","11541","10248","8888","8253","8532","8190"
"MU","4301636","Balneário Pinhal (RS)","309","238","238","238","158","30","-","413","402","450","275","440","513","475","528","455","455"
"MU","4301651","Barão (RS)","8","8","8","8","8","8","8","8","8","5","5","5","5","1","1","1","1"
"MU","4301701","Barão de Cotegipe (RS)","44","44","44","30","20","15","10","10","5","3","-","-","-","-","-","-","-"
"MU","4301750","Barão do Triunfo (RS)","150","150","165","140","200","280","310","310","310","310","310","310","270","310","310","310","310"
"MU","4301800","Barracão (RS)","20","10","5","5","3","2","-","-","-","-","-","-","-","-","-","-","-"
"MU","4301859","Barra do Guarita (RS)","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4301875","Barra do Quaraí (RS)","24779","19908","22143","20980","22000","21500","20900","21560","23100","24422","26526","24694","22755","22873","23738","23441","23487"
"MU","4301909","Barra do Ribeiro (RS)","12000","12700","12637","14001","14459","14535","14063","12348","12659","13044","12961","13062","13250","13082","12486","12397","12394"
"MU","4301925","Barra do Rio Azul (RS)","10","10","10","10","3","3","1","1","1","-","-","-","-","-","-","-","2"
"MU","4301958","Barra Funda (RS)","5","5","5","4","-","-","-","-","-","-","-","-","-","1","1","1","1"
"MU","4302006","Barros Cassal (RS)","50","50","25","25","25","25","25","25","15","15","-","-","-","-","-","-","-"
"MU","4302055","Benjamin Constant do Sul (RS)","5","7","8","13","5","5","2","2","2","2","1","1","1","1","-","-","-"
"MU","4302105","Bento Gonçalves (RS)","3","3","3","3","3","3","3","3","2","1","1","-","1","-","-","-","-"
"MU","4302154","Boa Vista das Missões (RS)","25","25","25","25","4","4","2","2","2","1","5","5","5","5","3","3","3"
"MU","4302204","Boa Vista do Buricá (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4302220","Boa Vista do Cadeado (RS)","30","30","30","30","10","10","-","-","-","-","-","-","-","-","-","-","-"
"MU","4302238","Boa Vista do Incra (RS)","20","20","20","20","20","20","5","-","-","-","-","-","-","-","-","-","-"
"MU","4302253","Boa Vista do Sul (RS)","2","2","2","2","2","1","1","-","-","-","-","-","-","-","-","-","-"
"MU","4302303","Bom Jesus (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4302352","Bom Princípio (RS)","-","-","-","4","4","4","4","4","4","4","5","5","5","5","5","5","3"
"MU","4302378","Bom Progresso (RS)","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4302402","Bom Retiro do Sul (RS)","9","10","19","10","8","33","49","34","34","34","34","34","34","34","34","34","34"
"MU","4302451","Boqueirão do Leão (RS)","25","25","15","15","15","18","18","18","18","12","12","3","3","3","3","3","3"
"MU","4302501","Bossoroca (RS)","50","55","90","108","108","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4302584","Bozano (RS)","10","10","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-"
"MU","4302600","Braga (RS)","10","10","5","5","3","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4302659","Brochier (RS)","4","4","4","4","4","4","4","4","4","4","2","2","1","1","1","1","2"
"MU","4302709","Butiá (RS)","1200","1550","1550","1500","1300","1650","1200","1200","1200","1300","1200","800","1200","1200","160","800","700"
"MU","4302808","Caçapava do Sul (RS)","3800","3800","3800","4000","4000","3867","3000","3694","3600","3600","3600","3250","3120","2950","2714","2964","2696"
"MU","4302907","Cacequi (RS)","16000","16000","16500","16500","16500","17000","16500","15000","16000","16500","14354","13967","14537","11608","11156","12293","12273"
"MU","4303004","Cachoeira do Sul (RS)","38423","37270","38600","39360","37560","41000","33444","32950","33420","33068","30929","30100","28720","25522","25037","26135","25582"
"MU","4303103","Cachoeirinha (RS)","-","-","-","-","-","-","-","-","...","...","...","...","...","...","...","...","..."
"MU","4303202","Cacique Doble (RS)","5","5","5","5","1","-","5","-","-","-","-","-","-","-","-","-","-"
"MU","4303301","Caibaté (RS)","75","75","75","50","-","-","-","30","25","30","25","30","30","32","30","30","30"
"MU","4303400","Caiçara (RS)","130","130","130","10","10","10","10","10","5","5","5","12","5","5","5","5","5"
"MU","4303509","Camaquã (RS)","29250","27825","31375","33022","31510","33100","33870","32442","35163","34300","35507","35400","32658","29590","28730","31160","31110"
"MU","4303558","Camargo (RS)","8","8","8","4","2","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4303608","Cambará do Sul (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4303673","Campestre da Serra (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4303707","Campina das Missões (RS)","5","3","-","-","2","2","2","2","2","2","2","2","1","-","-","-","-"
"MU","4303806","Campinas do Sul (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4303905","Campo Bom (RS)","160","120","120","120","120","40","35","35","40","40","-","-","-","-","-","-","-"
"MU","4304002","Campo Novo (RS)","10","3","3","-","-","2","6","4","2","-","-","-","-","-","-","-","-"
"MU","4304101","Campos Borges (RS)","10","10","8","5","5","2","2","-","-","-","-","-","-","-","-","-","-"
"MU","4304200","Candelária (RS)","8200","8100","8000","8300","8056","8500","8590","8525","8650","8950","8850","8700","8700","7500","7000","6620","6320"
"MU","4304309","Cândido Godói (RS)","9","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4304358","Candiota (RS)","900","900","900","1100","1100","1189","650","753","800","700","602","890","440","1100","900","245","170"
"MU","4304408","Canela (RS)","5","5","2","1","-","2","-","-","-","-","-","-","-","-","-","-","-"
"MU","4304507","Canguçu (RS)","750","750","780","890","890","825","890","775","740","1200","760","900","738","750","337","743","512"
"MU","4304606","Canoas (RS)","800","800","800","800","800","800","450","400","200","200","200","400","600","600","600","600","600"
"MU","4304614","Canudos do Vale (RS)","3","3","3","3","3","3","2","2","-","-","-","-","-","-","-","-","-"
"MU","4304622","Capão Bonito do Sul (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4304630","Capão da Canoa (RS)","450","450","300","300","300","150","-","-","-","5","48","48","150","150","-","-","-"
"MU","4304655","Capão do Cipó (RS)","45","30","30","23","7","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4304663","Capão do Leão (RS)","7025","7025","8181","8425","6997","7977","6622","7392","7319","7249","6464","7259","6597","6386","6167","6702","6850"
"MU","4304671","Capivari do Sul (RS)","12310","12610","12611","12263","14519","14744","13271","15243","15078","15200","15100","14684","11902","11168","9664","10203","9988"
"MU","4304689","Capela de Santana (RS)","950","950","950","950","950","950","1800","1800","1800","1800","1800","1800","1800","1850","1850","1850","1850"
"MU","4304697","Capitão (RS)","2","2","2","1","1","1","1","1","-","-","-","-","-","-","-","-","-"
"MU","4304705","Carazinho (RS)","5","5","5","4","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4304713","Caraá (RS)","234","234","150","150","150","156","167","167","190","272","272","272","272","272","272","272","177"
"MU","4304804","Carlos Barbosa (RS)","8","6","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4304853","Carlos Gomes (RS)","5","5","5","5","2","5","5","5","2","2","2","2","2","3","2","2","1"
"MU","4304903","Casca (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4304952","Caseiros (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4305009","Catuípe (RS)","15","10","5","4","4","4","-","-","-","-","-","-","-","-","-","-","-"
"MU","4305108","Caxias do Sul (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4305116","Centenário (RS)","5","5","5","5","3","5","5","5","5","8","5","5","5","5","6","6","6"
"MU","4305124","Cerrito (RS)","700","700","555","1061","1166","1242","1007","935","688","724","225","286","238","206","155","246","188"
"MU","4305132","Cerro Branco (RS)","930","930","900","950","950","1050","976","936","940","950","1000","1000","1150","1050","1050","1050","1030"
